subject_id,age,ethnicity_group,face_height_mm,face_width_mm,facial_index,head_length_mm,head_breadth_mm,cephalic_index,interpupillary_distance_mm,ear_width_mm,ear_length_mm,ear_anchor_offset_x_mm,ear_anchor_offset_y_mm,nose_width_mm,jaw_width_mm,neck_length_mm,neck_width_mm,face_shape,skin_tone_fitzpatrick
S0159,23,Indigenous-Nepalese,119.7,125.1,95.68,178.5,149.9,83.98,68.5,32.3,65.8,5.57,16.43,34.3,109.3,92.6,108.8,Square,Type_V
S0160,24,Tibeto-Nepalese,106.8,114.2,93.52,183.2,144.5,78.88,64.4,30.8,52.8,8.68,16.51,34.0,99.8,91.1,98.5,Oblong,Type_IV
S0161,23,Indigenous-Nepalese,124.1,124.5,99.68,181.7,150.6,82.88,64.0,32.8,58.2,7.15,15.36,32.3,110.4,105.3,111.8,Heart,Type_III
S0162,19,Indigenous-Nepalese,107.9,118.4,91.13,181.2,151.5,83.61,63.3,33.8,57.2,8.99,12.28,34.1,97.2,112.2,107.0,Diamond,Type_V
S0163,19,Tibeto-Nepalese,111.7,127.9,87.33,190.4,169.3,88.92,57.3,32.3,64.5,9.57,15.24,35.6,110.8,95.9,110.5,Square,Type_III
S0164,20,Tibeto-Nepalese,119.0,120.9,98.43,180.4,149.1,82.65,61.8,35.1,60.7,7.3,15.36,37.1,99.7,94.9,101.1,Square,Type_III
S0165,21,Tibeto-Nepalese,115.4,114.3,100.96,176.9,147.9,83.61,62.9,28.5,51.4,8.84,13.62,34.6,101.6,92.0,99.8,Oval,Type_V
S0166,25,Indo-Nepalese,119.9,133.8,89.61,174.2,144.2,82.78,63.3,39.3,68,9.25,12.09,36.6,111.8,95.0,129.4,Square,Type_IV
S0167,18,Indo-Nepalese,119.9,121.5,98.68,167.8,134.1,79.92,62.2,31.7,59.8,10.02,13.23,33.0,103.6,95.7,108.0,Oblong,Type_V
S0168,19,Tibeto-Nepalese,114.2,117.4,97.27,186.3,156.9,84.22,59.4,32.6,55.5,7.13,15.55,33.0,100.5,94.5,102.9,Oblong,Type_IV
S0169,23,Indo-Nepalese,118.8,132.8,89.46,184.1,147.1,79.9,65.0,38.5,61.6,8.95,12.6,35.1,111.1,91.1,126.7,Oval,Type_V
S0170,19,Indo-Nepalese,117.8,117.3,100.43,172.2,133.4,77.47,59.7,30.4,61.5,9.98,10.95,34.2,99.3,96.0,94.8,Oblong,Type_V
S0171,21,Tibeto-Nepalese,110.4,132.9,83.07,176.5,150.7,85.38,59.3,30.5,63.2,6.61,16.58,32.6,117.9,94.9,123.0,Diamond,Type_IV
S0172,24,Tibeto-Nepalese,109.5,140.1,78.16,189.3,160.5,84.79,60.7,40,68,7.98,16.34,32.0,112.7,99.4,116.3,Oval,Type_V
S0173,20,Tibeto-Nepalese,105.9,103.3,102.52,174.5,149.0,85.39,56.1,29.3,51.8,8.57,15.17,33.8,90,96.6,93.3,Diamond,Type_III
S0174,21,Indo-Nepalese,114.0,129.4,88.1,184.8,136.1,73.65,58.5,33.4,58.3,7.69,9.4,34.3,111.6,100.6,105.3,Square,Type_V
S0175,20,Indo-Nepalese,124.8,127.8,97.65,189.1,143.7,75.99,63.9,33.2,56.6,9.77,12.91,33.2,109.7,88.9,116.1,Oval,Type_III
S0176,23,Tibeto-Nepalese,123.8,126.9,97.56,181.5,158.9,87.55,59.8,36.0,59.9,7.41,12.71,32.0,113.4,97.2,113.4,Oval,Type_III
S0177,21,Indo-Nepalese,113.3,108.9,104.04,177.8,147.5,82.96,59.1,31.7,52.3,7.48,16.34,34.5,95.3,105.3,98.9,Oval,Type_V
S0178,22,Indigenous-Nepalese,118.7,115.6,102.68,162.9,130,79.8,62.5,26,52.8,8.11,14.18,31.8,101.3,96.1,99.5,Diamond,Type_III
S0179,24,Indo-Nepalese,114.4,134.3,85.18,188.3,157.2,83.48,63.7,40,62.5,9.64,13.7,30.3,122.3,84.3,125.8,Square,Type_V
S0180,21,Tibeto-Nepalese,123.6,114.4,108.04,181.1,140.5,77.58,59.7,31.2,49.6,6.84,17.48,37.7,103.0,104.9,107.4,Heart,Type_V
S0181,23,Indo-Nepalese,123.4,125.1,98.64,187.7,146.1,77.84,58.7,29.1,59.3,8.05,13.66,33.4,106.8,100.3,105.9,Heart,Type_III
S0182,20,Tibeto-Nepalese,125.8,126.9,99.13,171.3,135.8,79.28,67.1,34.7,56.4,7.32,15.81,36.0,109.0,90.9,105.8,Heart,Type_III
S0183,18,Indo-Nepalese,109.2,131.8,82.85,193.6,158.7,81.97,59.2,36.1,68,10.17,12.71,31.4,119.7,108.5,124.8,Oblong,Type_V
S0184,23,Indo-Nepalese,117.5,129.0,91.09,174.2,133.6,76.69,64.0,31.9,55.5,7.14,14.98,37.4,109.1,98.2,117.1,Oval,Type_III
S0185,20,Indigenous-Nepalese,111.4,115.4,96.53,178.4,131.8,73.88,67.8,32.2,55.6,8.23,18.61,33.4,100.2,94.9,103.0,Diamond,Type_V
S0186,19,Indigenous-Nepalese,113.3,133.8,84.68,188.5,156.9,83.24,60.9,37.1,68,9.44,12.04,34.9,118.9,94.7,123.1,Oval,Type_III
S0187,18,Tibeto-Nepalese,101.9,128.8,79.11,181.3,151.4,83.51,65.3,35.0,59.5,9.05,9.18,38.8,112.0,89.1,109.3,Heart,Type_III
S0188,24,Tibeto-Nepalese,126.1,128.7,97.98,173.5,146.7,84.55,59.6,34.5,65.1,9.84,13.8,34.2,100.2,100.1,96.9,Oval,Type_V
S0189,18,Indigenous-Nepalese,121.2,135.7,89.31,177.5,151.1,85.13,59.8,35.4,63.7,7.99,13.92,30.8,112.6,94.4,118.1,Diamond,Type_V
S0190,24,Tibeto-Nepalese,115.5,123.8,93.3,175.2,130.6,74.54,61.3,32.0,54.7,6.96,12.37,35.5,112.7,93.5,124.8,Heart,Type_V
S0191,23,Indigenous-Nepalese,111.7,115.2,96.96,184.6,147.7,80.01,61.9,28.5,54.5,8.7,12.21,37.4,103.2,104.0,109.7,Diamond,Type_III
S0192,23,Tibeto-Nepalese,110.1,141.4,77.86,192.7,147.0,76.28,63.8,36.8,61.9,6.83,15.99,33.3,122.5,91.8,121.6,Square,Type_IV
S0193,19,Tibeto-Nepalese,108.4,115.4,93.93,185.9,156.7,84.29,63.4,30.8,48.5,8.12,12.43,33.1,101.2,89.6,103.1,Square,Type_III
S0194,20,Tibeto-Nepalese,116.0,123.9,93.62,176.5,138.8,78.64,64.0,33.5,56.4,6.44,11.31,35.7,111.5,97.7,107.8,Square,Type_III
S0195,25,Tibeto-Nepalese,123.8,115.5,107.19,180.0,151.1,83.94,58.5,27.3,51.8,8.95,10.4,32.6,103.8,113.7,104.9,Diamond,Type_III
S0196,23,Indo-Nepalese,122.4,116.5,105.06,185.7,142.5,76.74,63.7,34.1,52.4,8.15,13.17,30.2,98.2,92.6,96.2,Heart,Type_III
S0197,19,Tibeto-Nepalese,118.8,120.5,98.59,182.0,144.6,79.45,62.1,33.7,48,7.29,13.56,36.9,101.8,100.4,110.5,Oblong,Type_III
S0198,19,Tibeto-Nepalese,127.1,132.3,96.07,188.2,148.2,78.75,61.8,33.4,55.8,7.6,14.07,34.2,111.3,75,105.6,Oval,Type_V
S0199,20,Tibeto-Nepalese,123.3,119.1,103.53,200,160.9,80.45,61.5,33.5,54.6,8.85,15.45,32.8,99.9,94.5,105.1,Heart,Type_IV
S0200,22,Tibeto-Nepalese,117.8,126.2,93.34,184.2,140.4,76.22,61.4,30.7,60.1,7.01,13.14,35.5,107.4,103.4,106.9,Oval,Type_V
S0201,23,Indo-Nepalese,114.9,116.0,99.05,176.3,138.6,78.62,61.0,35.0,52.7,9.83,14.78,32.2,93.1,99.9,90,Oval,Type_III
S0202,24,Indigenous-Nepalese,120.0,129.6,92.59,184.7,157.6,85.33,58.4,34.0,60.6,7.65,11.11,35.8,115.1,92.7,109.9,Round,Type_V
S0203,20,Indo-Nepalese,107.0,126.2,84.79,174.2,138.6,79.56,62.4,34.6,61.8,8.27,15.41,32.0,106.1,97.8,114.7,Round,Type_III
S0204,20,Tibeto-Nepalese,114.5,110.6,103.53,186.9,143.8,76.94,60.4,28.2,51.0,8.9,13.16,35.6,94.6,101.4,90,Heart,Type_III
S0205,23,Tibeto-Nepalese,121.8,127.7,95.38,175.9,131.8,74.93,62.6,35.4,61.2,8.99,13.59,35.4,107.8,103.8,111.5,Oblong,Type_V
S0206,19,Tibeto-Nepalese,116.8,135.3,86.33,182.1,148.7,81.66,56.1,37.6,61.8,7.81,15.5,31.9,114.3,97.5,121.5,Round,Type_V
S0207,22,Indo-Nepalese,115.3,120.8,95.45,186.6,149.3,80.01,63.4,33.8,58.2,8.98,12.4,35.2,103.9,97.7,109.7,Diamond,Type_V
S0208,25,Indo-Nepalese,115.7,111.3,103.95,178.6,146.7,82.14,64.2,30.2,52.3,6.91,13.11,34.1,93.6,96.6,94.2,Diamond,Type_V
S0209,20,Tibeto-Nepalese,131.5,133.2,98.72,175.4,152.1,86.72,64.6,33.3,63.4,8.43,14.65,34.3,110.9,95.2,116.8,Round,Type_V
S0210,18,Indigenous-Nepalese,117.0,130.1,89.93,199.1,157.2,78.96,65.9,40,60.2,7.78,11.8,35.1,114.9,97.0,118.1,Diamond,Type_V
S0211,21,Indigenous-Nepalese,114.2,123.9,92.17,188.4,163.4,86.73,65.1,32.9,56.6,7.59,13.17,34.5,106.5,90.5,108.9,Oblong,Type_V
S0212,18,Indo-Nepalese,123.6,137.8,89.7,184.8,152.0,82.25,63.6,36.9,61.7,7.83,14.71,35.3,114.4,97.7,120.3,Heart,Type_IV
S0213,18,Indo-Nepalese,113.5,125.1,90.73,177.8,141.9,79.81,63.5,29.2,61.1,10.62,12.89,31.8,109.1,95.2,112.2,Oblong,Type_IV
S0214,19,Indigenous-Nepalese,114.0,122.5,93.06,178.5,133.0,74.51,57.9,32.8,55.6,7.77,12.37,38.0,114.7,89.2,110.3,Round,Type_IV
S0215,22,Indo-Nepalese,104.7,123.5,84.78,185.0,138.6,74.92,56.8,34.7,59.5,5.63,12.61,40.3,98.7,91.4,108.4,Square,Type_III
S0216,21,Indo-Nepalese,111.1,138.0,80.51,177.3,148.5,83.76,59.6,40,60.7,9.68,14.82,32.7,123.6,96.0,121.6,Heart,Type_IV
S0217,19,Indo-Nepalese,106.1,115.2,92.1,177.0,149.6,84.52,64.5,27.1,58.2,8.04,14.87,35.0,101.6,87.8,100.1,Square,Type_V
S0218,21,Indo-Nepalese,108.9,118.6,91.82,192.7,149.5,77.58,60.2,33.2,57.1,7.61,12.15,32.8,97.7,103.3,103.7,Oval,Type_IV
S0219,20,Tibeto-Nepalese,132.9,121.3,109.56,178.8,146.9,82.16,65.1,30.1,59.8,7.26,9.5,35.0,94.7,94.0,99.2,Round,Type_IV
S0220,18,Indo-Nepalese,120.2,138.0,87.1,179.4,143.8,80.16,66.2,34.2,58.5,6.45,9.35,34.8,113.2,93.0,113.4,Square,Type_V
S0221,24,Indo-Nepalese,115.8,116.9,99.06,181.4,151.2,83.35,60.2,34.6,51.2,5.4,14.23,34.2,99.4,87.8,101.1,Diamond,Type_III
S0222,24,Tibeto-Nepalese,114.0,122.6,92.99,189.8,157.8,83.14,65.3,26.8,59.8,7.86,14.02,36.6,105.5,101.4,116.3,Oblong,Type_III
S0223,24,Indo-Nepalese,107.7,123.8,87.0,179.7,155.7,86.64,61.0,36.0,48.2,9.59,12.07,31.8,106.1,88.4,114.7,Diamond,Type_IV
S0224,23,Indo-Nepalese,120.5,121.1,99.5,174.9,148.2,84.73,63.0,33.5,55.0,8.15,13.4,34.0,109.5,88.2,103.0,Oblong,Type_IV
S0225,24,Tibeto-Nepalese,116.5,129.0,90.31,175.9,156.4,88.91,63.0,36.5,58.5,8.22,13.88,37.2,104.7,107.7,106.5,Oblong,Type_IV
S0226,24,Indigenous-Nepalese,124.9,129.4,96.52,194.5,161.7,83.14,62.8,30.7,59.2,8.71,12.49,37.0,114.4,93.5,112.2,Square,Type_V
S0227,19,Tibeto-Nepalese,117.2,122.8,95.44,171.4,135.0,78.76,60.6,35.8,50.4,10.6,16.77,32.0,111.0,100.8,117.2,Diamond,Type_III
S0228,22,Indo-Nepalese,105.4,110.6,95.3,167.5,130,77.61,58.3,29.8,48.2,9.84,12.91,33.7,99.0,97.4,97.5,Round,Type_V
S0229,20,Indigenous-Nepalese,110.2,123.3,89.38,187.2,147.0,78.53,63.0,36.5,59.0,7.8,16.35,35.1,107.6,103.0,111.3,Diamond,Type_III
S0230,20,Indo-Nepalese,113.0,136.6,82.72,171.7,130,75.71,62.3,40,59.6,8.75,11.65,36.0,117.3,91.7,112.6,Oblong,Type_IV
S0231,19,Indigenous-Nepalese,111.6,116.5,95.79,170.2,130,76.38,60.8,33.1,48,6.94,14.34,35.2,99.6,94.6,104.3,Heart,Type_V
S0232,20,Tibeto-Nepalese,116.5,122.4,95.18,184.4,138.7,75.22,63.2,32.8,56.2,8.27,13.23,35.5,111.6,91.4,117.2,Oblong,Type_III
S0233,21,Indigenous-Nepalese,112.9,125.5,89.96,188.8,139.4,73.83,61.3,33.3,58.9,7.72,12.11,34.9,114.1,99.1,115.4,Heart,Type_IV
S0234,24,Indo-Nepalese,109.4,113.5,96.39,169.5,141.8,83.66,62.7,26.9,52.0,7.98,16.58,32.8,97.1,110.2,97.5,Oblong,Type_IV
S0235,21,Tibeto-Nepalese,114.6,121.1,94.63,188.0,161.4,85.85,67.6,34.6,63.4,8.22,14.74,31.5,105.7,90.0,108.1,Square,Type_V
S0236,18,Indigenous-Nepalese,113.8,108.7,104.69,171.0,141.1,82.51,62.4,33.3,51.4,7.7,11.5,34.7,97.6,100.5,104.3,Square,Type_IV
S0237,19,Indo-Nepalese,107.0,123.2,86.85,180.5,145.2,80.44,60.8,28.6,53.3,9.98,11.55,38.4,105.7,95.3,105.9,Round,Type_III
S0238,22,Indigenous-Nepalese,112.9,130.0,86.85,186.2,139.2,74.76,56.3,35.3,64.0,8.58,12.0,35.6,106.9,103.5,116.8,Heart,Type_III
S0239,20,Indo-Nepalese,124.7,133.9,93.13,180.4,144.0,79.82,65.4,28.9,68,9.08,14.67,37.8,123.3,87.4,122.4,Heart,Type_IV
S0240,21,Indo-Nepalese,118.4,132.7,89.22,197.2,155.0,78.6,63.2,34.1,60.9,8.41,15.89,32.4,112.6,92.8,110.2,Oval,Type_V
S0241,18,Tibeto-Nepalese,125.8,129.7,96.99,195.7,138.5,70.77,61.4,31.6,64.8,6.88,15.55,36.8,108.4,102.9,113.4,Oval,Type_IV
S0242,21,Indigenous-Nepalese,114.8,108.0,106.3,171.9,138.2,80.4,68.1,28.8,50.7,6.81,14.38,40.0,91.0,95.4,91.7,Oblong,Type_V
S0243,24,Tibeto-Nepalese,119.7,132.7,90.2,164.6,133.9,81.35,62.6,29.8,64.0,8.38,11.55,34.5,113.3,103.0,119.8,Oval,Type_III
S0244,18,Indigenous-Nepalese,115.2,121.9,94.5,179.6,134.5,74.89,60.4,33.2,52.3,7.52,11.45,33.2,103.4,90.4,100.8,Round,Type_III
S0245,20,Indigenous-Nepalese,110.6,127.3,86.88,189.3,159.1,84.05,62.9,36.5,68,10.1,12.39,34.4,115.9,101.8,123.5,Oval,Type_III
S0246,23,Tibeto-Nepalese,112.3,111.4,100.81,193.2,160.9,83.28,64.9,33.5,51.3,8.47,14.03,37.4,100.3,87.6,99.5,Heart,Type_IV
S0247,21,Indigenous-Nepalese,114.3,124.0,92.18,184.4,147.9,80.21,61.4,29.3,63.8,9.98,14.19,34.3,105.6,90.8,107.6,Square,Type_IV
S0248,18,Tibeto-Nepalese,114.5,128.3,89.24,184.8,157.2,85.06,68.3,32.5,56.1,6.56,11.9,35.0,108.2,95.4,109.7,Oblong,Type_III
S0249,23,Indo-Nepalese,114.7,116.8,98.2,182.2,145.4,79.8,62.1,29.4,53.8,8.41,14.26,35.4,103.8,88.7,105.1,Oval,Type_IV
S0250,20,Indo-Nepalese,108.0,126.5,85.38,180.0,130,72.22,60.4,28.9,64.1,6.84,9.62,36.3,111.5,91.2,123.2,Oval,Type_V
S0251,22,Tibeto-Nepalese,97.4,118.8,81.99,185.4,155.4,83.82,60.1,28.2,55.4,5.99,14.01,36.6,108.7,97.0,111.7,Diamond,Type_V
S0252,20,Indigenous-Nepalese,119.8,130.0,92.15,183.1,144.2,78.75,62.9,34.2,55.7,8.42,14.32,31.7,110.9,89.7,108.9,Square,Type_IV
S0253,20,Indo-Nepalese,123.5,123.8,99.76,180.6,140.3,77.69,68.1,32.6,60.8,6.98,13.46,36.3,102.7,103.5,107.0,Square,Type_V
S0254,23,Tibeto-Nepalese,108.4,127.4,85.09,172.4,140.6,81.55,62.7,34.7,53.7,7.64,15.3,37.4,112.1,96.3,113.0,Square,Type_V
S0255,19,Indigenous-Nepalese,115.6,121.5,95.14,180.4,149.8,83.04,68.3,29.9,53.8,9.18,14.77,36.9,105.4,87.8,110.6,Round,Type_III
S0256,22,Tibeto-Nepalese,119.4,134.2,88.97,181.3,136.0,75.01,57.2,36.1,54.3,8.15,17.8,35.1,117.2,100.9,122.2,Square,Type_III
S0257,22,Indo-Nepalese,117.4,114.9,102.18,188.9,157.2,83.22,58.7,30.7,48,8.26,15.6,33.7,102.0,96.8,103.6,Round,Type_IV
S0258,18,Indo-Nepalese,110.3,132.6,83.18,181.5,147.3,81.16,66.3,40,62.0,7.7,14.44,34.4,115.9,86.1,117.5,Square,Type_III
S0259,19,Indo-Nepalese,117.2,115.1,101.82,193.6,150.4,77.69,65.4,33.7,52.7,7.6,13.39,38.7,105.0,99.9,103.9,Oblong,Type_III
S0260,18,Indigenous-Nepalese,106.6,125.0,85.28,184.1,142.0,77.13,61.5,29.8,58.5,7.61,13.18,36.8,100.2,94.1,94.3,Square,Type_V
S0261,20,Indigenous-Nepalese,125.8,125.6,100.16,184.4,145.8,79.07,62.2,34.1,56.7,8.25,15.07,38.4,101.5,86.1,98.5,Oval,Type_IV
S0262,25,Indo-Nepalese,123.5,131.0,94.27,184.7,155.1,83.97,58.2,34.0,58.7,8.65,13.34,33.2,114.6,96.3,113.3,Square,Type_III
S0263,24,Indo-Nepalese,124.4,117.4,105.96,188.7,152.0,80.55,64.8,35.0,60.1,8.0,13.9,37.4,97.0,90.5,100.8,Oval,Type_IV
S0264,24,Indo-Nepalese,137.3,128.5,106.85,168.5,138.7,82.31,64.1,34.2,57.6,7.57,14.34,36.7,105.6,94.8,113.2,Round,Type_III
S0265,22,Indigenous-Nepalese,117.9,121.8,96.8,184.8,146.1,79.06,64.4,32.6,54.5,11.04,15.29,33.3,99.0,92.3,103.0,Oblong,Type_V
S0266,19,Tibeto-Nepalese,116.3,113.1,102.83,192.2,141.9,73.83,59.0,34.8,48,8.17,14.67,37.2,95.8,99.8,103.1,Square,Type_V
S0267,21,Tibeto-Nepalese,122.3,117.5,104.09,180.8,142.1,78.6,61.6,28.0,49.4,8.32,14.08,34.7,97.0,96.7,97.5,Round,Type_IV
S0268,23,Indo-Nepalese,118.7,112.8,105.23,181.6,154.2,84.91,61.0,29.0,53.9,7.98,12.27,34.3,94.9,87.9,96.9,Round,Type_V
S0269,21,Tibeto-Nepalese,122.8,131.2,93.6,189.2,144.4,76.32,60.1,32.5,57.7,8.31,12.4,34.5,114.3,88.5,119.2,Diamond,Type_V
S0270,20,Tibeto-Nepalese,104.6,112.6,92.9,195.1,157.6,80.78,56.1,27.9,48.7,7.13,9.5,36.1,103.4,93.2,108.5,Oval,Type_V
S0271,25,Indigenous-Nepalese,111.5,131.5,84.79,182.4,147.1,80.65,57.5,34.1,61.3,8.45,15.11,35.1,114.3,94.4,117.0,Diamond,Type_III
S0272,18,Indo-Nepalese,129.1,130.2,99.16,192.8,158.5,82.21,61.8,33.0,65.3,7.47,15.69,33.4,113.7,98.0,116.6,Round,Type_IV
S0273,19,Indo-Nepalese,109.2,115.2,94.79,181.0,157.6,87.07,61.4,28.6,51.5,8.04,16.08,33.7,102.1,96.4,102.7,Diamond,Type_III
S0274,21,Tibeto-Nepalese,119.7,116.6,102.66,170.0,143.5,84.41,64.0,32.4,60.0,8.71,11.0,35.1,103.0,90.0,100.5,Round,Type_III
S0275,21,Indigenous-Nepalese,129.5,127.3,101.73,170.7,139.6,81.78,58.4,33.9,58.9,8.36,14.05,35.5,108.1,94.6,109.3,Round,Type_III
S0276,21,Tibeto-Nepalese,130.0,115.4,112.65,181.6,147.0,80.95,62.6,28.7,54.8,7.48,11.39,33.7,94.4,87.7,99.1,Square,Type_III
S0277,23,Indo-Nepalese,122.4,122.1,100.25,182.4,150.4,82.46,60.4,31.2,60.5,8.2,14.63,31.6,110.0,86.7,108.4,Oval,Type_III
S0278,19,Indigenous-Nepalese,111.4,125.0,89.12,187.2,149.6,79.91,66.5,33.7,61.9,6.13,14.41,35.3,105.2,78.8,110.5,Square,Type_V
S0279,18,Indo-Nepalese,114.3,124.4,91.88,185.3,146.4,79.01,66.5,28.4,56.8,7.85,13.81,34.5,104.2,82.7,104.3,Oblong,Type_III
S0280,20,Tibeto-Nepalese,113.1,117.8,96.01,171.5,137.0,79.88,61.1,34.3,52.1,6.17,13.48,33.3,108.5,88.9,108.0,Round,Type_III
S0281,24,Tibeto-Nepalese,110.9,122.0,90.9,188.0,145.1,77.18,60.7,32.1,65.8,7.0,13.67,32.8,106.5,99.7,111.3,Heart,Type_V
S0282,21,Indigenous-Nepalese,118.3,111.5,106.1,170.7,143.4,84.01,59.9,31.5,49.0,8.09,13.6,30.9,96.5,88.1,90,Oblong,Type_IV
S0283,23,Indo-Nepalese,104.3,122.0,85.49,177.8,132.7,74.63,62.0,32.5,57.5,9.09,14.32,33.3,107.1,95.5,112.3,Square,Type_IV
S0284,23,Tibeto-Nepalese,112.7,123.9,90.96,186.6,146.7,78.62,63.0,33.8,66.6,6.56,15.36,37.8,103.7,95.6,115.1,Oval,Type_V
S0285,20,Indo-Nepalese,112.6,126.4,89.08,178.2,136.8,76.77,62.9,32.5,55.5,7.74,14.71,33.2,114.1,82.9,118.2,Diamond,Type_V
S0286,18,Indigenous-Nepalese,132.3,121.0,109.34,179.8,136.0,75.64,62.5,32.2,49.2,7.85,12.31,36.0,106.0,107.3,102.1,Oval,Type_III
S0287,23,Indo-Nepalese,111.3,117.0,95.13,195.1,161.1,82.57,60.2,29.6,51.1,8.17,11.58,31.4,99.1,92.0,96.8,Diamond,Type_IV
S0288,19,Indigenous-Nepalese,107.7,136.6,78.84,175.1,132.1,75.44,61.9,31.4,68,7.59,12.94,33.7,121.8,106.2,122.3,Oval,Type_V
S0289,18,Tibeto-Nepalese,112.6,116.8,96.4,180.5,136.9,75.84,64.9,32.7,57.5,6.09,13.21,36.2,101.4,81.5,105.1,Diamond,Type_IV
S0290,20,Tibeto-Nepalese,116.8,140.3,83.25,179.9,138.4,76.93,63.7,40,65.3,9.37,13.64,35.1,121.4,102.1,119.0,Heart,Type_V
S0291,20,Indo-Nepalese,119.1,135.5,87.9,184.5,145.1,78.64,61.4,35.7,68,8.49,16.86,32.6,116.5,83.5,120.0,Round,Type_V
S0292,21,Indo-Nepalese,121.8,132.7,91.79,188.2,154.6,82.15,62.5,33.9,56.7,8.09,15.25,34.6,114.5,97.0,108.6,Diamond,Type_III
S0293,21,Indigenous-Nepalese,124.8,123.7,100.89,186.3,158.1,84.86,63.7,32.0,52.4,7.02,13.99,31.5,106.9,89.2,114.2,Oval,Type_IV
S0294,18,Tibeto-Nepalese,124.3,108.5,114.56,171.7,144.4,84.1,59.3,27.2,52.3,8.4,15.11,32.7,93.5,90.5,90,Round,Type_III
S0295,24,Tibeto-Nepalese,112.8,119.0,94.79,184.6,152.1,82.39,63.6,32.5,53.8,9.3,14.83,37.3,94.6,102.4,90,Heart,Type_V
S0296,21,Tibeto-Nepalese,114.1,125.7,90.77,179.9,145.3,80.77,63.1,31.5,48.7,7.08,14.96,33.2,111.0,92.3,109.1,Round,Type_IV
S0297,18,Indo-Nepalese,109.2,131.6,82.98,176.0,148.7,84.49,64.9,33.7,58.3,8.42,11.5,34.0,113.6,76.8,118.5,Heart,Type_IV
S0298,21,Tibeto-Nepalese,118.8,130.0,91.38,178.1,132.7,74.51,60.8,34.3,63.0,10.7,11.23,32.1,108.4,89.4,111.8,Oblong,Type_III
S0299,23,Indigenous-Nepalese,112.4,106.0,106.04,176.9,135.3,76.48,60.1,30.0,48,6.67,13.88,37.0,90,99.6,95.6,Square,Type_IV
S0300,22,Tibeto-Nepalese,121.8,118.8,102.53,191.1,157.8,82.57,62.1,35.7,58.1,8.52,15.03,36.6,104.3,93.8,99.8,Oval,Type_III
S0301,19,Indo-Nepalese,118.3,119.2,99.24,181.8,131.1,72.11,60.9,32.4,60.2,6.56,9.95,31.5,104.9,95.6,107.6,Diamond,Type_V
S0302,20,Indo-Nepalese,114.1,125.2,91.13,182.8,148.5,81.24,64.7,34.9,57.6,9.72,16.44,34.0,112.4,86.9,116.4,Oval,Type_V
S0303,20,Indo-Nepalese,120.6,126.0,95.71,175.2,149.4,85.27,65.5,34.7,58.5,7.72,11.04,36.5,105.9,91.2,112.2,Square,Type_V
S0304,24,Indigenous-Nepalese,128.3,116.6,110.03,177.2,149.6,84.42,59.9,31.9,56.4,6.63,15.85,38.9,101.6,97.0,98.9,Oval,Type_IV
S0305,24,Indigenous-Nepalese,109.2,119.0,91.76,181.0,137.4,75.91,69.1,30.2,60.4,7.28,13.29,36.9,102.6,111.1,106.5,Oval,Type_V
S0306,23,Tibeto-Nepalese,110.6,110.4,100.18,175.0,142.0,81.14,59.1,26.9,49.6,10.27,12.94,37.4,95.8,96.1,96.7,Heart,Type_III
S0307,24,Tibeto-Nepalese,112.8,116.8,96.58,184.7,146.5,79.32,62.1,30.0,54.3,8.58,15.34,33.2,101.2,89.3,102.5,Oval,Type_III
S0308,25,Indigenous-Nepalese,115.2,112.5,102.4,184.4,146.9,79.66,66.9,30.7,56.8,6.53,13.99,35.3,92.7,91.4,92.2,Diamond,Type_IV
S0309,24,Indigenous-Nepalese,115.5,132.6,87.1,190.6,161.1,84.52,65.0,38.5,68,9.18,11.14,34.2,119.2,102.8,119.0,Oblong,Type_III
S0310,25,Tibeto-Nepalese,120.1,128.2,93.68,182.5,149.9,82.14,56.1,34.9,65.4,8.35,13.48,34.0,118.7,80.4,113.6,Diamond,Type_III
S0311,20,Indigenous-Nepalese,120.9,123.7,97.74,186.1,145.9,78.4,63.3,31.5,57.8,8.42,17.22,41.3,103.8,115,109.6,Oblong,Type_IV
S0312,21,Indo-Nepalese,110.9,127.0,87.32,186.0,147.8,79.46,63.1,31.0,63.4,6.54,14.27,35.6,113.3,91.2,115.3,Square,Type_IV
S0313,20,Indo-Nepalese,113.3,131.3,86.29,190.2,148.2,77.92,65.1,36.8,65.1,7.83,13.56,35.9,112.8,97.5,120.3,Square,Type_IV
S0314,24,Indigenous-Nepalese,111.4,122.2,91.16,180.2,149.0,82.69,62.3,34.0,59.4,6.94,12.32,38.2,104.5,83.1,114.4,Diamond,Type_III
S0315,20,Tibeto-Nepalese,121.1,126.0,96.11,179.1,154.1,86.04,61.0,30.3,56.5,8.39,15.95,36.2,106.3,84.3,108.6,Square,Type_III
S0316,21,Indigenous-Nepalese,108.9,127.9,85.14,177.0,139.6,78.87,70,35.8,61.6,9.46,12.31,33.0,110.9,92.7,107.8,Round,Type_III
S0317,21,Indo-Nepalese,114.9,128.7,89.28,182.9,149.9,81.96,57.9,32.1,66.2,7.51,9.79,39.6,117.1,96.7,117.9,Diamond,Type_IV
S0318,20,Tibeto-Nepalese,110.0,116.0,94.83,189.8,175,92.2,59.1,34.1,54.0,7.59,13.12,34.5,96.6,84.8,105.0,Square,Type_V
